image_id,year,month,day,final_date,note
000009,2026,10,29,2026-10-29,single raw:2026.10.29
000014,2026,01,31,2026-01-31,single raw:26.01.31
000027,2026,04,27,2026-04-27,multi-부터까지 raw:27.04.2026 | 28.04.2025
000039,2026,05,26,2026-05-26,single raw:2026.05.26
000046,2025,10,10,2025-10-10,single raw:2025.10.10
000052,2025,11,19,2025-11-19,single raw:2025.11.19
000060,2026,04,30,2026-04-30,single raw:2026.04.30
000078,2025,06,19,2025-06-19,single raw:2025.06 19
000081,2026,05,18,2026-05-18,multi-부터까지 raw:2025.05.19 | 2026.05.18
000087,2026,08,10,2026-08-10,multi-부터까지 raw:2025.08.11 | 2026.08.10
000094,2027,06,30,2027-06-30,single raw:2027.06.30
000102,2025,11,13,2025-11-13,single raw:2025.11.13
000110,2025,10,29,2025-10-29,single raw:25.10.29
000134,2026,09,23,2026-09-23,single raw:2026.09.23
000146,2026,04,03,2026-04-03,single raw:2026.04.03
000148,2026,02,26,2026-02-26,multi-부터까지 raw:26.02.26 | 24.08.27
000154,2027,08,13,2027-08-13,single raw:2027.08.13
000174,2026,09,05,2026-09-05,multi-부터까지 raw:2025.09.06 | 2026.09.05
000179,2026,06,29,2026-06-29,multi-부터까지 raw:2025.09.30 | 2026.06.29
000193,2026,03,06,2026-03-06,single raw:2026.03.06
000194,2027,04,23,2027-04-23,single raw:2027.04.23
000197,2026,07,30,2026-07-30,single raw:2026.07.30
000208,2026,04,13,2026-04-13,single raw:4.13.2026
000226,2027,03,15,2027-03-15,single raw:27.03.15
000229,2025,10,28,2025-10-28,single raw:2025.10.28
000230,2026,03,28,2026-03-28,single raw:2026-03-28
000233,2028,01,18,2028-01-18,single raw:20280118
000239,2026,07,10,2026-07-10,single raw:2026.07.10
000240,2027,06,20,2027-06-20,single raw:2027.06.20
000241,2027,08,10,2027-08-10,single raw:2027.08.10
000250,2026,03,04,2026-03-04,multi-부터까지 raw:25.09.05 | 26.03.04
000254,2026,08,12,2026-08-12,multi-부터까지 raw:25.08.13 | 26.08.12
000255,2026,08,20,2026-08-20,single raw:26.08.20
000258,2026,05,30,2026-05-30,single raw:2026.05.30
000259,2025,11,09,2025-11-09,single raw:2025.11.09
000261,2026,03,07,2026-03-07,multi-부터까지 raw:25.09.08 | 26.03.07
000263,2028,11,22,2028-11-22,single raw:2028.11.22
000264,2026,06,06,2026-06-06,single raw:26.06.06
000274,2026,03,02,2026-03-02,multi-부터까지 raw:25.09.03 | 26.03.02
000277,2026,07,15,2026-07-15,multi-부터까지 raw:2025.09.16 | 2026.07.15
000290,2027,03,02,2027-03-02,single raw:2027.03.02
000299,2026,05,13,2026-05-13,single raw:2026.05.13
000305,2026,02,24,2026-02-24,single raw:26.02.24
000309,2027,04,01,2027-04-01,single raw:2027.04.01
000310,2026,09,28,2026-09-28,single raw:2026.09.28
000315,2026,07,19,2026-07-19,single raw:2026.07.19
000316,2027,03,01,2027-03-01,single raw:2027.03.01
000326,2025,10,18,2025-10-18,single raw:2025.10.18
000328,2025,12,25,2025-12-25,single raw:2025.12.25
000346,2026,05,15,2026-05-15,single raw:2026.05.15
000358,2027,09,16,2027-09-16,single raw:2027.09.16
000359,2026,06,18,2026-06-18,single raw:2026.06.18
000363,2026,04,21,2026-04-21,single raw:2026.04.21
000369,2027,06,25,2027-06-25,single raw:2027.06.25
000375,2026,05,31,2026-05-31,single raw:26.05.31
000385,2026,09,14,2026-09-14,multi-부터까지 raw:2025.09.15 | 2026.09.14
000387,2027,01,21,2027-01-21,single raw:2027.01.21
000388,2026,01,15,2026-01-15,single raw:2026.01.15
